Aroma,Flavor,Total Cup Points
8.58,8.5,89.33
8.5,8.5,87.58
8.33,8.42,87.42
8.08,8.17,87.17
8.33,8.33,87.08
8.33,8.33,87
8.33,8.17,86.92
8.25,8.25,86.75
8.08,8.08,86.67
8.08,8.17,86.5
8.08,8.25,86.25
8.08,8,86.25
8.08,8,86.25
7.67,8.17,86.17
8.08,8,86.17
8.17,8.08,86.08
8.17,8.08,86.08
8,8.17,86.08
8.08,8.17,85.92
8.17,8,85.83
8,7.92,85.75
8.08,8,85.67
7.67,8,85.67
8.08,8,85.67
7.83,8,85.58
7.83,8.08,85.5
7.92,7.92,85.5
8.17,8.08,85.5
8,8,85.5
8,7.92,85.42
8,8,85.42
7.92,8,85.33
8.08,8.17,85.33
7.67,7.83,85.33
8,8.08,85.33
7.92,7.75,85.25
8,7.92,85.25
8.25,8.08,85.25
8.17,7.75,85.25
7.75,7.92,85.17
8,7.92,85.08
8,8.08,85.08
8,7.92,85.08
8,7.92,85
7.92,8,85
8.17,8.08,85
7.67,8.08,85
7.67,8,85
7.83,7.92,84.92
7.92,7.92,84.92
8,8,84.83
7.83,7.92,84.83
8,8,84.83
7.92,7.75,84.83
7.83,7.83,84.83
7.67,7.92,84.75
7.83,7.92,84.75
7.83,7.83,84.75
7.92,8.08,84.75
